Faculty,SDG 1,SDG 2,SDG 3,SDG 4,SDG 5,SDG 6,SDG 7,SDG 8,SDG 9,SDG 10,SDG 11,SDG 12,SDG 13,SDG 14,SDG 15,SDG 16,SDG 17,Misc
Faculty of Arts and Humanities,128,118,159,97,233,115,45,605,332,754,230,229,97,225,30,182,6,86
Faculty of Social and Historical Sciences,234,253,162,115,247,170,50,594,429,675,307,254,109,349,133,301,10,221
Faculty of Brain Sciences,68,51,150,57,20,33,8,211,69,315,66,139,31,260,18,64,3,82
Faculty of Life Sciences,44,48,117,25,15,37,20,156,95,154,74,113,34,189,61,111,1,56
Faculty of the Built Environment,272,300,79,84,86,224,80,362,260,370,293,235,87,181,67,123,11,288
School of Slavonic and Eastern European Studies,12,8,2,3,16,8,0,43,29,63,14,10,2,30,2,16,2,10
Institute of Education,184,179,121,506,98,45,19,413,191,640,108,126,32,287,20,516,5,209
Faculty of Engineering Sciences,236,226,132,81,79,121,98,494,347,529,186,282,100,273,83,159,29,225
Faculty of Mathematical and Physical Sciences,87,92,42,23,42,49,90,213,148,265,88,140,79,169,32,52,3,98
Faculty of Medical Sciences,68,90,253,20,14,27,17,111,80,246,47,169,18,214,41,52,0,89
Faculty of Population Health Sciences,75,55,217,42,57,24,14,162,81,232,109,149,30,181,24,67,3,88
